DeployID,Ptt,Instr,Count,Date,Disposition,Code
171234,171234,Mk10,2,20:00:00 14-Oct-2018,neither,2
171234,171234,Mk10,2,21:00:00 14-Oct-2018,neither,2
171234,171234,Mk10,2,22:00:00 14-Oct-2018,neither,2
171234,171234,Mk10,2,23:00:00 14-Oct-2018,deep,1
171234,171234,Mk10,2,00:00:00 15-Oct-2018,deep,1
171234,171234,Mk10,2,01:00:00 15-Oct-2018,deep,1
171234,171234,Mk10,2,02:00:00 15-Oct-2018,deep,1
171234,171234,Mk10,2,03:00:00 15-Oct-2018,deep,1
171234,171234,Mk10,2,04:00:00 15-Oct-2018,neither,2
171234,171234,Mk10,2,05:00:00 15-Oct-2018,deep,1
171234,171234,Mk10,2,06:00:00 15-Oct-2018,neither,2
171234,171234,Mk10,2,07:00:00 15-Oct-2018,neither,2
171234,171234,Mk10,2,08:00:00 15-Oct-2018,neither,2
171234,171234,Mk10,2,09:00:00 15-Oct-2018,neither,2
171234,171234,Mk10,2,10:00:00 15-Oct-2018,neither,2
171234,171234,Mk10,2,11:00:00 15-Oct-2018,neither,2
171234,171234,Mk10,2,12:00:00 15-Oct-2018,neither,2
171234,171234,Mk10,2,13:00:00 15-Oct-2018,deep,1
171234,171234,Mk10,2,14:00:00 15-Oct-2018,deep,1
171234,171234,Mk10,2,15:00:00 15-Oct-2018,deep,1
171234,171234,Mk10,2,16:00:00 15-Oct-2018,deep,1
171234,171234,Mk10,2,17:00:00 15-Oct-2018,deep,1
171234,171234,Mk10,2,18:00:00 15-Oct-2018,deep,1
171234,171234,Mk10,2,19:00:00 15-Oct-2018,deep,1
171234,171234,Mk10,2,20:00:00 15-Oct-2018,neither,2
171234,171234,Mk10,2,21:00:00 15-Oct-2018,neither,2
171234,171234,Mk10,2,22:00:00 15-Oct-2018,neither,2
171234,171234,Mk10,2,23:00:00 15-Oct-2018,deep,1
171234,171234,Mk10,2,00:00:00 16-Oct-2018,deep,1
171234,171234,Mk10,2,01:00:00 16-Oct-2018,neither,2
171234,171234,Mk10,2,02:00:00 16-Oct-2018,deep,1
171234,171234,Mk10,2,03:00:00 16-Oct-2018,deep,1
171234,171234,Mk10,2,04:00:00 16-Oct-2018,deep,1
171234,171234,Mk10,2,05:00:00 16-Oct-2018,deep,1
171234,171234,Mk10,2,06:00:00 16-Oct-2018,deep,1
171234,171234,Mk10,2,07:00:00 16-Oct-2018,deep,1
171234,171234,Mk10,2,08:00:00 16-Oct-2018,deep,1
171234,171234,Mk10,2,09:00:00 16-Oct-2018,neither,2
171234,171234,Mk10,2,10:00:00 16-Oct-2018,neither,2
171234,171234,Mk10,2,11:00:00 16-Oct-2018,neither,2
171234,171234,Mk10,2,12:00:00 16-Oct-2018,deep,1
171234,171234,Mk10,2,13:00:00 16-Oct-2018,deep,1
171234,171234,Mk10,2,14:00:00 16-Oct-2018,neither,2
171234,171234,Mk10,2,15:00:00 16-Oct-2018,neither,2
171234,171234,Mk10,2,16:00:00 16-Oct-2018,neither,2
171234,171234,Mk10,2,17:00:00 16-Oct-2018,neither,2
171234,171234,Mk10,2,18:00:00 16-Oct-2018,neither,2
171234,171234,Mk10,2,19:00:00 16-Oct-2018,neither,2
171234,171234,Mk10,2,20:00:00 16-Oct-2018,deep,1
171234,171234,Mk10,2,21:00:00 16-Oct-2018,deep,1
171234,171234,Mk10,2,22:00:00 16-Oct-2018,neither,2
171234,171234,Mk10,2,23:00:00 16-Oct-2018,deep,1
171234,171234,Mk10,2,00:00:00 17-Oct-2018,deep,1
171234,171234,Mk10,2,01:00:00 17-Oct-2018,neither,2
171234,171234,Mk10,2,02:00:00 17-Oct-2018,deep,1
171234,171234,Mk10,2,03:00:00 17-Oct-2018,deep,1
171234,171234,Mk10,2,04:00:00 17-Oct-2018,deep,1
171234,171234,Mk10,2,05:00:00 17-Oct-2018,deep,1
171234,171234,Mk10,2,06:00:00 17-Oct-2018,deep,1
171234,171234,Mk10,2,07:00:00 17-Oct-2018,deep,1
171234,171234,Mk10,2,08:00:00 17-Oct-2018,deep,1
171234,171234,Mk10,2,09:00:00 17-Oct-2018,neither,2
171234,171234,Mk10,2,10:00:00 17-Oct-2018,neither,2
171234,171234,Mk10,2,11:00:00 17-Oct-2018,neither,2
171234,171234,Mk10,2,12:00:00 17-Oct-2018,neither,2
171234,171234,Mk10,2,13:00:00 17-Oct-2018,neither,2
171234,171234,Mk10,2,14:00:00 17-Oct-2018,neither,2
171234,171234,Mk10,2,15:00:00 17-Oct-2018,neither,2
171234,171234,Mk10,2,16:00:00 17-Oct-2018,neither,2
171234,171234,Mk10,2,17:00:00 17-Oct-2018,neither,2
171234,171234,Mk10,2,18:00:00 17-Oct-2018,deep,1
171234,171234,Mk10,2,19:00:00 17-Oct-2018,deep,1
171234,171234,Mk10,2,20:00:00 17-Oct-2018,neither,2
171234,171234,Mk10,2,21:00:00 17-Oct-2018,neither,2
171234,171234,Mk10,2,22:00:00 17-Oct-2018,deep,1
171234,171234,Mk10,2,23:00:00 17-Oct-2018,deep,1
171234,171234,Mk10,1,00:00:00 18-Oct-2018,deep,1
171234,171234,Mk10,1,01:00:00 18-Oct-2018,deep,1
171234,171234,Mk10,1,02:00:00 18-Oct-2018,deep,1
171234,171234,Mk10,1,03:00:00 18-Oct-2018,deep,1
171234,171234,Mk10,1,04:00:00 18-Oct-2018,deep,1
171234,171234,Mk10,1,05:00:00 18-Oct-2018,deep,1
171234,171234,Mk10,1,06:00:00 18-Oct-2018,deep,1
171234,171234,Mk10,1,07:00:00 18-Oct-2018,deep,1
171234,171234,Mk10,1,08:00:00 18-Oct-2018,deep,1
171234,171234,Mk10,1,09:00:00 18-Oct-2018,deep,1
171234,171234,Mk10,1,10:00:00 18-Oct-2018,deep,1
171234,171234,Mk10,1,11:00:00 18-Oct-2018,neither,2
171234,171234,Mk10,1,12:00:00 18-Oct-2018,deep,1
171234,171234,Mk10,1,13:00:00 18-Oct-2018,deep,1
171234,171234,Mk10,1,14:00:00 18-Oct-2018,deep,1
171234,171234,Mk10,1,15:00:00 18-Oct-2018,neither,2
171234,171234,Mk10,1,16:00:00 18-Oct-2018,deep,1
171234,171234,Mk10,1,17:00:00 18-Oct-2018,deep,1
171234,171234,Mk10,1,18:00:00 18-Oct-2018,neither,2
171234,171234,Mk10,1,19:00:00 18-Oct-2018,neither,2
171234,171234,Mk10,1,20:00:00 18-Oct-2018,neither,2
171234,171234,Mk10,1,21:00:00 18-Oct-2018,neither,2
171234,171234,Mk10,1,22:00:00 18-Oct-2018,neither,2
171234,171234,Mk10,1,23:00:00 18-Oct-2018,deep,1
171234,171234,Mk10,1,00:00:00 19-Oct-2018,deep,1
171234,171234,Mk10,1,01:00:00 19-Oct-2018,deep,1
171234,171234,Mk10,1,02:00:00 19-Oct-2018,deep,1
171234,171234,Mk10,1,03:00:00 19-Oct-2018,deep,1
171234,171234,Mk10,1,04:00:00 19-Oct-2018,deep,1
171234,171234,Mk10,1,05:00:00 19-Oct-2018,deep,1
171234,171234,Mk10,1,06:00:00 19-Oct-2018,deep,1
171234,171234,Mk10,1,07:00:00 19-Oct-2018,deep,1
171234,171234,Mk10,1,08:00:00 19-Oct-2018,deep,1
171234,171234,Mk10,1,09:00:00 19-Oct-2018,deep,1
171234,171234,Mk10,1,10:00:00 19-Oct-2018,neither,2
171234,171234,Mk10,1,11:00:00 19-Oct-2018,deep,1
171234,171234,Mk10,1,12:00:00 19-Oct-2018,deep,1
171234,171234,Mk10,1,13:00:00 19-Oct-2018,deep,1
171234,171234,Mk10,1,14:00:00 19-Oct-2018,deep,1
171234,171234,Mk10,1,15:00:00 19-Oct-2018,deep,1
171234,171234,Mk10,1,16:00:00 19-Oct-2018,deep,1
171234,171234,Mk10,1,17:00:00 19-Oct-2018,deep,1
171234,171234,Mk10,1,18:00:00 19-Oct-2018,deep,1
171234,171234,Mk10,1,19:00:00 19-Oct-2018,deep,1
171234,171234,Mk10,1,20:00:00 19-Oct-2018,deep,1
171234,171234,Mk10,1,21:00:00 19-Oct-2018,neither,2
171234,171234,Mk10,1,22:00:00 19-Oct-2018,neither,2
171234,171234,Mk10,1,23:00:00 19-Oct-2018,deep,1
171234,171234,Mk10,1,00:00:00 20-Oct-2018,deep,1
171234,171234,Mk10,1,01:00:00 20-Oct-2018,deep,1
171234,171234,Mk10,1,02:00:00 20-Oct-2018,deep,1
171234,171234,Mk10,1,03:00:00 20-Oct-2018,deep,1
171234,171234,Mk10,1,04:00:00 20-Oct-2018,deep,1
171234,171234,Mk10,1,05:00:00 20-Oct-2018,deep,1
171234,171234,Mk10,1,06:00:00 20-Oct-2018,deep,1
171234,171234,Mk10,1,07:00:00 20-Oct-2018,deep,1
171234,171234,Mk10,1,08:00:00 20-Oct-2018,deep,1
171234,171234,Mk10,1,09:00:00 20-Oct-2018,deep,1
171234,171234,Mk10,1,10:00:00 20-Oct-2018,neither,2
171234,171234,Mk10,1,11:00:00 20-Oct-2018,deep,1
171234,171234,Mk10,1,12:00:00 20-Oct-2018,deep,1
171234,171234,Mk10,1,13:00:00 20-Oct-2018,deep,1
171234,171234,Mk10,1,14:00:00 20-Oct-2018,deep,1
171234,171234,Mk10,1,15:00:00 20-Oct-2018,deep,1
171234,171234,Mk10,1,16:00:00 20-Oct-2018,neither,2
171234,171234,Mk10,1,17:00:00 20-Oct-2018,neither,2
171234,171234,Mk10,1,18:00:00 20-Oct-2018,neither,2
171234,171234,Mk10,1,19:00:00 20-Oct-2018,neither,2
171234,171234,Mk10,1,20:00:00 20-Oct-2018,neither,2
171234,171234,Mk10,1,21:00:00 20-Oct-2018,neither,2
171234,171234,Mk10,1,22:00:00 20-Oct-2018,neither,2
171234,171234,Mk10,1,23:00:00 20-Oct-2018,deep,1
